id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
7,Tasiilaq,GL,2,9258090.0,OZEN,3031.0,84.0,1,True,True
8,Gamli Fagraberg,FO,2,9184641.0,OW2400,2832.0,82.0,1,True,True
9,Trondur i Gotu,FO,2,9279238.0,XPXP,2779.0,76.0,1,True,True
10,Gamli Jupiter,FO,2,9087037.0,XPRG,2270.0,74.0,1,True,True
11,Norðborg,FO,2,9404247.0,XPYG,5192.0,84.0,1,True,True
12,Alina,PL,2,8918318.0,SNSB,5099.0,111.0,1,True,True
13,Gardar,NO,2,9463255.0,3YBM,3527.0,82.0,1,True,True
14,Tummas T,FO,2,9255232.0,XPKF,1514.0,64.0,1,True,True
15,Norðingur,FO,2,9281633.0,OW2050,2017.0,69.0,1,True,True
113,Sjarmør,NO,2,9207132.0,LJZO,1192.0,62.0,1,True,True
115,Atlant,RU,2,9205201.0,UBJT8,1198.0,59.0,3,True,False
118,Slottstein,NO,2,6620797.0,LJDR,693.0,54.0,1,True,True
121,Asbjørn Selsbane,NO,2,9657193.0,LDGP,1191.0,55.0,1,True,True
124,Nordfisk,NO,2,9251901.0,LLVK,1518.0,64.0,1,True,True
126,Kvannøy,NO,2,9710919.0,LKUF,2868.0,80.0,1,True,True
127,Senior,NO,2,9263710.0,LDHM,2302.0,70.0,1,True,True
130,Rødholmen,NO,2,9118044.0,LCMN,1874.0,75.0,1,True,True
131,Øygarden,NO,2,8505434.0,JXAY,1481.0,61.0,3,True,False
132,M. Ytterstad,NO,2,9683972.0,LFTI,2906.0,75.0,1,True,True
140,Radek,NO,2,9184639.0,LJVY,2213.0,68.0,1,True,True
141,Alf,CL,2,9251913.0,CA9252,1513.0,64.0,1,True,True
142,Nybo,NO,2,9264180.0,LMFZ,1600.0,56.0,1,True,True
144,GUNNAR,RU,2,9281669.0,UBHU5,2223.0,71.0,1,True,False
145,Birita,FO,2,9235397.0,XPRD,1988.0,67.4,1,True,True
146,Havstål,NO,2,9429728.0,LESG,2943.0,72.0,1,True,True
156,Svanur RE 45,IS,2,9195779.0,TFBJ,1969.0,67.4,1,True,True
157,Fiskeskjer,NO,2,9505273.0,LDXH,3145.0,75.0,1,True,True
158,Teigenes,NO,2,9286841.0,LNTY,2883.0,75.0,1,True,True
159,Leinebjørn,NO,2,9605542.0,LCOJ,1829.0,68.0,1,True,True
160,Rockall,RU,2,9182320.0,UBDX3,1614.0,67.9,1,True,True
161,Kings Bay,NO,2,9617985.0,LCNN,4027.0,78.0,1,True,True
162,Eros M-29-HØ,NO,2,9617973.0,LCNG,4027.0,78.0,1,True,True
163,Unity FR165,GB,2,9598622.0,MMFW4,1427.0,63.0,1,True,True
164,Smaragd M-65-HØ,NO,2,9717084.0,LKOO,3580.0,74.0,1,True,True
165,Havdrøn,NO,2,9657208.0,LDGS,1964.0,70.0,1,True,True
167,Sjøbris,CK,2,8506828.0,E5U6004,1559.0,70.4,1,True,True
168,Christina E,NO,2,9554573.0,3YVG,3526.0,80.0,1,True,True
169,Jorunn K,NO,2,9113422.0,LHWW,1200.0,56.0,1,True,True
170,Centinela I,CL,2,9657210.0,CA9629,2294.0,70.0,1,True,True
174,Katrin Jóhanna,FO,2,9151591.0,XPWC,1914.0,73.0,1,True,True
177,Ingrid Majala,NO,2,9621948.0,LCOE,1401.0,63.0,1,True,True
178,Fiskebank,NO,2,9298002.0,LEPW,1188.0,53.0,1,True,True
179,Dyrnesvåg,NO,2,9179799.0,LJUH,1038.0,54.0,1,True,True
181,Sæbjørn,NO,2,9126596.0,LIFA,1742.0,66.0,1,True,True
182,Vestfart,NO,2,9261839.0,LLRG,1517.0,64.0,1,True,True
183,Fiskebas,NO,2,9646998.0,LDFS,1899.0,64.0,1,True,True
186,Fonnes,NO,2,9328431.0,LMWF,1306.0,58.0,1,True,True
187,Harvest,NO,2,9669756.0,LDKY,2342.0,67.0,1,True,True
188,Straumberg,NO,2,6806535.0,LNXT,644.0,54.0,1,True,True
189,Vendla,NO,2,9646091.0,LCYN,2987.0,76.0,1,True,True
190,Morten Einar,BZ,2,8416853.0,0000,1409.0,68.0,3,True,False
191,Steinevik,NO,2,9378840.0,JWNI,2263.0,71.0,1,True,True
192,Rut (RU),RU,2,9147174.0,UBTV5,1821.0,67.4,1,True,True
193,Harald Johan,NO,2,8512102.0,JXAM,1492.0,63.0,1,True,True
195,Manon,NO,2,9125633.0,LJOD,1793.0,70.0,1,True,True
197,Ran (FO),FO,2,8506830.0,OW2012,1651.0,65.0,1,True,True
198,Gullberg VE-292,IS,2,9167928.0,TFQF,2188.0,71.0,1,True,True
199,Brennholm,NO,2,9710907.0,LKUX,2365.0,70.0,1,True,True
200,Talbor,CL,2,9244178.0,CA9828,1514.0,64.0,1,True,True
201,Eldjarn,NO,2,9213973.0,LMWR,2187.0,68.0,1,True,True
202,Zenit,NO,2,9281645.0,LMWI,2069.0,69.0,1,True,True
203,Bømmelfjord,NO,2,9281621.0,LMBX,2034.0,69.0,1,True,True
204,Pionero I,CL,2,9662526.0,V3TW8,2832.0,70.0,1,True,True
205,Alsey VE 2,IS,2,9263526.0,TFKL,1936.0,68.8,1,True,True
207,Nordervon (NA),,2,9185190.0,V5RT,1976.0,67.0,4,True,False
209,Storeknut,NO,2,9143570.0,LMDO,2138.0,71.0,1,True,True
210,Trygvason,NO,2,9210634.0,LENJ,1464.0,64.0,1,True,True
211,Lønningen,NO,2,9191539.0,LKLV,1169.0,62.0,1,True,True
212,Elisabeth,NO,2,9088847.0,LHEA,1099.0,61.0,1,True,True
213,Bømmelbas,NO,2,9223148.0,LLGZ,1206.0,62.0,1,True,True
